"band","event_date","species_name","age_description","sex_description"
"B87863440977","9/30/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863441058","10/13/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863441136","10/13/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863441213","10/11/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863441294","10/11/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863441537","10/6/99","Western Wood-Pewee","Unknown","Unknown"
"B87863441696","10/25/99","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87863441836","10/18/99","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87863441854","10/18/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863442097","10/1/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863442414","9/29/99","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B87863442657","10/4/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863442738","10/1/99","Acadian Flycatcher","After Hatching Year","Unknown"
"B87863442816","10/1/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863442878","10/1/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863443054","9/24/99","Acadian Flycatcher","Hatching Year","Unknown"
"B87863443217","9/22/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863443453","9/16/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863443534","9/15/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863443777","9/29/99","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87863443833","9/27/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863443858","9/27/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863443936","9/24/99","Traill's Flycatcher","Unknown","Unknown"
"B87863444337","5/3/99","Red-eyed Vireo","After Hatching Year","Unknown"
"B87863444654","9/15/99","Western Wood-Pewee","After Hatching Year","Unknown"
"B87863444734","9/15/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863444814","9/15/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863444874","9/15/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863444978","9/13/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863448143","10/30/99","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87863448178","11/9/99","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87863448224","10/26/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448257","10/26/99","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87863448338","10/16/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448416","10/14/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448467","10/14/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448493","10/14/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448548","10/12/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448574","10/14/99","Traill's Flycatcher","Hatching Year","Unknown"
"B87863448976","4/15/00","Acadian Flycatcher","Second Year","Unknown"
"B87863450410","4/21/00","Eastern Wood-Pewee","Second Year","Unknown"
"B87863450497","4/24/00","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863450656","9/12/00","Traill's Flycatcher","Hatching Year","Unknown"
"B87863450970","9/5/00","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585018","4/28/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585056","5/25/01","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87863585095","4/28/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585133","5/25/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585215","5/24/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585258","5/24/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585298","5/24/01","Traill's Flycatcher","Second Year","Unknown"
"B87863585336","5/22/01","Traill's Flycatcher","After Second Year","Unknown"
"B87863585413","5/22/01","Traill's Flycatcher","Second Year","Unknown"
"B87863585457","5/22/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585495","5/22/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585538","5/21/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585578","5/21/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585616","5/3/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585655","5/3/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863585693","5/3/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585737","5/3/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585775","5/3/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585818","5/1/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585833","5/1/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863585858","5/1/02","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87863585896","5/1/02","Least Flycatcher","After Hatching Year","Unknown"
"B87863622653","4/20/07","Traill's Flycatcher","After Second Year","Unknown"
"B87863623213","9/20/07","Red-eyed Vireo","Hatching Year","Unknown"
"B87863808146","10/16/04","Yellow-bellied Flycatcher","Unknown","Unknown"
"B87863808170","10/17/04","Yellow-bellied Flycatcher","Unknown","Unknown"
"B87863808170","1/13/05","Yellow-bellied Flycatcher","Second Year","Unknown"
"B87863808940","1/8/05","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87863930498","5/9/03","Least Flycatcher","After Hatching Year","Unknown"
"B87863930739","5/14/03","Least Flycatcher","After Hatching Year","Unknown"
"B87863930890","5/14/03","Least Flycatcher","After Hatching Year","Unknown"
"B87863937057","4/23/04","Least Flycatcher","After Hatching Year","Unknown"
"B87863937137","4/21/04","Philadelphia Vireo","After Hatching Year","Unknown"
"B87863937296","4/18/04","Warbling Vireo","After Hatching Year","Unknown"
"B87863937373","4/15/04","White-eyed Vireo","After Hatching Year","Unknown"
"B87863937459","4/13/04","White-eyed Vireo","After Hatching Year","Unknown"
"B87863937697","5/5/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863937778","5/1/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B87863937837","4/29/04","Least Flycatcher","After Hatching Year","Unknown"
"B87863937856","4/29/04","Least Flycatcher","After Hatching Year","Unknown"
"B87863937933","4/26/04","Least Flycatcher","After Hatching Year","Unknown"
"B87863938626","5/25/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87863938817","5/25/03","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87863938948","5/24/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87863939299","5/17/03","Least Flycatcher","After Hatching Year","Unknown"
"B87863939859","5/19/03","Least Flycatcher","After Hatching Year","Unknown"
"B87863939937","5/18/03","Least Flycatcher","After Hatching Year","Unknown"
"B87913599839","11/8/84","Black-whiskered Vireo","Unknown","Unknown"
"B87913834761","5/7/08","Acadian Flycatcher","After Hatching Year","Unknown"
"B87914615834","10/2/98","Cliff Swallow","After Hatching Year","Unknown"
"B87914810281","10/11/91","Red-eyed Vireo","Hatching Year","Female"
"B87914810600","7/2/92","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87914810687","7/14/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914810769","6/1/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914810841","5/28/92","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87914810871","5/29/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914812044","10/20/90","Red-eyed Vireo","Unknown","Unknown"
"B87914812927","11/29/90","La Sagra's Flycatcher","Unknown","Unknown"
"B87914815001","2/9/90","Cuban Pewee","After Hatching Year","Unknown"
"B87914815404","1/31/89","Cuban Pewee","After Hatching Year","Unknown"
"B87914815727","10/18/90","Red-eyed Vireo","Hatching Year","Unknown"
"B87914816048","6/13/91","Cave Swallow","Unknown","Unknown"
"B87914816121","6/13/91","Cave Swallow","Local","Unknown"
"B87914816206","6/13/91","Cave Swallow","Local","Unknown"
"B87914816287","6/13/91","Cave Swallow","Local","Unknown"
"B87914816369","6/13/91","Cave Swallow","Local","Unknown"
"B87914816608","7/4/91","Cave Swallow","Unknown","Unknown"
"B87914816681","7/4/91","Cave Swallow","Unknown","Unknown"
"B87914816766","6/13/91","Cave Swallow","Hatching Year","Unknown"
"B87914816847","6/13/91","Cave Swallow","Unknown","Unknown"
"B87914816874","6/13/91","Cave Swallow","Unknown","Unknown"
"B87914816929","6/13/91","Cave Swallow","After Hatching Year","Unknown"
"B87914817327","10/13/01","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914817801","10/18/01","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914819009","8/30/92","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87914819241","2/11/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914819324","2/4/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914819481","2/3/92","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914890049","11/9/93","Thick-billed Vireo","Unknown","Unknown"
"B87914891801","1/31/93","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914892447","11/12/91","Thick-billed Vireo","Unknown","Unknown"
"B87914892879","2/12/92","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914893483","2/4/91","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914893721","11/6/91","Thick-billed Vireo","Unknown","Unknown"
"B87914894127","11/7/90","Thick-billed Vireo","Unknown","Unknown"
"B87914894209","11/6/90","Thick-billed Vireo","Hatching Year","Unknown"
"B87914894281","11/6/90","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914894879","11/11/90","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914895008","2/6/90","Cuban Pewee","After Hatching Year","Unknown"
"B87914895089","2/7/90","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914895247","11/15/89","Thick-billed Vireo","Unknown","Unknown"
"B87914895484","11/12/89","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B87914895568","11/10/89","Cuban Pewee","After Hatching Year","Unknown"
"B87914895725","2/16/90","Thick-billed Vireo","After Hatching Year","Unknown"
"B87914895807","2/13/90","Thick-billed Vireo","After Hatching Year","Unknown"
"B87923278462","3/21/94","Red-eyed Vireo","After Hatching Year","Female"
"B87923279839","10/26/87","Red-eyed Vireo","Hatching Year","Unknown"
"B87864957694","9/15/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87864957779","9/11/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87864986098","10/9/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87864986138","10/1/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87864986176","10/3/98","Red-eyed Vireo","Hatching Year","Unknown"
"B87864986216","9/27/98","Red-eyed Vireo","Hatching Year","Unknown"
"B87864986297","9/27/98","Red-eyed Vireo","Hatching Year","Unknown"
"B87864986378","9/25/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87864986534","9/5/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87864986577","9/14/98","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87864986857","10/23/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87864986876","11/5/98","Eastern Wood-Pewee","Unknown","Unknown"
"B87864986978","10/23/98","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923800688","9/20/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923800760","9/18/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923806049","9/7/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923806203","9/6/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923806288","9/6/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923806763","9/12/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923806848","9/9/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923806877","9/11/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923806920","9/8/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923812687","9/1/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923812769","8/30/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923812871","8/26/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923830520","8/21/01","Yellow-green Vireo","Hatching Year","Unknown"
"B87923830689","9/13/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833168","9/22/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833243","9/20/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833323","9/19/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923833407","9/19/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923833489","9/19/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833728","10/2/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833803","9/28/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833883","9/28/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923833967","9/25/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923835169","10/7/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923835242","10/5/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923835408","10/3/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923835483","10/3/93","Red-eyed Vireo","After Hatching Year","Unknown"
"B87923835565","10/3/93","Red-eyed Vireo","Hatching Year","Unknown"
"B87923839722","9/25/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87923839839","9/24/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B87924570872","5/28/93","Cave Swallow","After Hatching Year","Female"
"B87924571837","8/22/91","Cave Swallow","Unknown","Unknown"
"B87924572872","8/14/91","Cave Swallow","Unknown","Unknown"
"B87924573835","7/31/91","Cave Swallow","Unknown","Unknown"
"B87933518549","2/8/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87933519835","2/6/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87933800048","4/7/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933800369","3/31/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933800608","4/7/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933800680","4/7/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933800847","4/7/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933800929","4/7/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87933807007","4/20/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933807803","4/21/84","Caribbean Elaenia","After Hatching Year","Female"
"B87933808223","4/13/84","Caribbean Elaenia","Second Year","Unknown"
"B87933808308","4/13/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87933808520","4/11/84","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87933808547","4/11/84","Caribbean Elaenia","Second Year","Unknown"
"B87933809080","4/9/84","Caribbean Elaenia","Second Year","Unknown"
"B87933809329","4/8/84","Caribbean Elaenia","Second Year","Unknown"
"B87933809568","4/8/84","Caribbean Elaenia","Second Year","Unknown"
"B87933809640","4/9/84","Caribbean Elaenia","Second Year","Unknown"
"B87933809729","4/9/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933809807","4/9/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933809833","4/9/84","Black-whiskered Vireo","Second Year","Unknown"
"B87933815407","9/11/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87933815489","9/11/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B87943198303","3/2/86","Gray Vireo","After Hatching Year","Unknown"
"B87943198381","3/19/86","Gray Vireo","After Hatching Year","Unknown"
"B87943198469","3/1/86","Gray Vireo","After Hatching Year","Unknown"
"B87943198548","1/12/86","Gray Vireo","After Hatching Year","Unknown"
"B87943597837","11/4/01","White-eyed Vireo","Unknown","Unknown"
"B87943598225","10/1/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87943598309","10/1/01","Red-eyed Vireo","Hatching Year","Unknown"
"B87943598467","9/29/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B87873006418","5/4/04","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87873006497","5/5/04","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87873080010","2/1/00","Willow Flycatcher","After Hatching Year","Unknown"
"B87873080290","2/1/00","Willow Flycatcher","After Hatching Year","Unknown"
"B87873080338","2/1/00","Willow Flycatcher","After Hatching Year","Unknown"
"B87873080850","2/9/00","Willow Flycatcher","After Hatching Year","Unknown"
"B87873080977","2/8/00","Willow Flycatcher","After Hatching Year","Unknown"
"B87944978307","5/4/90","Black-whiskered Vireo","After Hatching Year","Female"
"B87944978389","5/4/90","Black-whiskered Vireo","After Hatching Year","Female"
"B87944978464","5/4/90","Black-whiskered Vireo","After Hatching Year","Female"
"B87944978629","9/1/90","Black-whiskered Vireo","Hatching Year","Unknown"
"B87944978788","9/1/90","Black-whiskered Vireo","Hatching Year","Unknown"
"B87944978867","9/1/90","Black-whiskered Vireo","Hatching Year","Unknown"
"B87944978879","8/4/90","Black-whiskered Vireo","Hatching Year","Unknown"
"B87944978949","6/16/90","Black-whiskered Vireo","After Hatching Year","Female"
"B87953250872","4/28/00","Least Flycatcher","After Hatching Year","Unknown"
"B87953256875","4/29/01","Least Flycatcher","After Hatching Year","Unknown"
"B87953259832","5/9/00","Traill's Flycatcher","After Hatching Year","Unknown"
"B87953293835","5/3/99","Traill's Flycatcher","After Hatching Year","Unknown"
"B79323366719","9/9/72","White-eyed Vireo","Unknown","Unknown"
"B79323366793","9/9/72","White-eyed Vireo","Unknown","Unknown"
"B79323439753","12/9/62","Thick-billed Vireo","Unknown","Unknown"
"B87873225457","3/26/03","Cordilleran Flycatcher","After Hatching Year","Unknown"
"B87963570879","1/10/00","White-eyed Vireo","After Second Year","Unknown"
"B87963660870","2/20/97","Cuban Pewee","After Hatching Year","Unknown"
"B87964448546","4/18/03","Red-eyed Vireo","Second Year","Unknown"
"B87964449834","4/28/12","Red-eyed Vireo","After Second Year","Unknown"
"B87964546877","4/29/00","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87873726018","9/23/07","Traill's Flycatcher","Unknown","Unknown"
"B87873726097","9/23/07","Traill's Flycatcher","Unknown","Unknown"
"B87873726173","9/23/07","Traill's Flycatcher","After Hatching Year","Unknown"
"B87873726332","9/22/07","Yellow-bellied Flycatcher","Unknown","Unknown"
"B87873726416","9/22/07","Traill's Flycatcher","Unknown","Unknown"
"B87873726497","9/22/07","Traill's Flycatcher","Unknown","Unknown"
"B87873726817","10/13/07","Traill's Flycatcher","Unknown","Unknown"
"B87873726892","11/27/07","White-eyed Vireo","After Hatching Year","Unknown"
"B87873726976","9/24/07","Traill's Flycatcher","After Hatching Year","Unknown"
"B87873748497","2/10/01","Cuban Pewee","Second Year","Unknown"
"B87873812921","2/18/02","Least Flycatcher","After Second Year","Unknown"
"B87873980057","5/12/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B87873980177","5/12/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B87873980413","10/30/02","Yellow-bellied Flycatcher","Unknown","Unknown"
"B87873980457","10/28/02","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B87873980538","10/22/02","Traill's Flycatcher","Hatching Year","Unknown"
"B87873980578","10/28/02","Traill's Flycatcher","Hatching Year","Unknown"
"B87873980617","9/22/04","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87873980779","9/15/04","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87873980858","10/6/03","Acadian Flycatcher","Hatching Year","Unknown"
"B87873980930","9/17/03","Yellow-bellied Flycatcher","Unknown","Unknown"
"B87873982498","5/5/10","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87874026257","3/6/13","Yellow-throated Vireo","After Hatching Year","Unknown"
"B79324962719","4/23/63","Great Crested Flycatcher","Unknown","Unknown"
"B87973218223","10/29/96","Barn Swallow","After Hatching Year","Female"
"B87973219833","10/28/95","Bank Swallow","Unknown","Unknown"
"B87973271837","10/21/01","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B87973272879","9/17/01","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87973277837","9/23/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B87874181018","5/25/94","Cave Swallow","After Hatching Year","Male"
"B87874181058","5/25/94","Cave Swallow","After Hatching Year","Female"
"B87874181097","5/25/94","Cave Swallow","After Hatching Year","Female"
"B87874181131","5/25/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181174","5/25/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181217","5/25/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181251","5/25/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181298","5/25/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181338","5/24/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181377","5/25/94","Cave Swallow","After Hatching Year","Female"
"B87874181411","5/24/94","Cave Swallow","After Hatching Year","Female"
"B87874181454","5/24/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181497","5/24/94","Cave Swallow","After Hatching Year","Female"
"B87874181531","5/24/94","Cave Swallow","After Hatching Year","Unknown"
"B87874181578","5/24/94","Cave Swallow","After Hatching Year","Female"
"B87874181734","6/30/94","Cave Swallow","Local","Unknown"
"B87874181811","6/30/94","Cave Swallow","After Hatching Year","Female"
"B87874181831","5/25/94","Cave Swallow","Local","Unknown"
"B87874181858","5/25/94","Cave Swallow","Local","Unknown"
"B87874181898","6/30/94","Cave Swallow","After Hatching Year","Male"
"B87874181937","5/25/94","Cave Swallow","After Hatching Year","Male"
"B87874181971","5/25/94","Cave Swallow","Local","Unknown"
"B87874183177","5/24/01","Black-whiskered Vireo","After Hatching Year","Male"
"B87874183538","10/23/00","Yellow-throated Vireo","After Hatching Year","Unknown"
"B87874935537","2/21/94","Bell's Vireo","After Hatching Year","Male"
"B87974071831","10/30/86","Acadian Flycatcher","Unknown","Unknown"
"B87974074877","9/26/86","Barn Swallow","Hatching Year","Unknown"
"B87974280377","5/29/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974286059","8/15/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974286292","7/26/87","Black-whiskered Vireo","After Hatching Year","Female"
"B87974286619","9/6/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974286697","9/6/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974286774","8/30/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974287097","5/10/87","Black-whiskered Vireo","After Hatching Year","Female"
"B87974287179","5/9/87","Black-whiskered Vireo","After Hatching Year","Female"
"B87974287972","5/23/87","Black-whiskered Vireo","After Hatching Year","Female"
"B87974288307","10/3/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974288462","9/27/87","Black-whiskered Vireo","After Hatching Year","Female"
"B87974288532","9/19/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974288548","9/19/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974288859","12/12/87","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87974289092","7/16/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974289178","7/16/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974289259","7/15/87","Black-whiskered Vireo","After Hatching Year","Male"
"B87974289897","3/6/88","Black-whiskered Vireo","After Hatching Year","Unknown"
"B87974698067","7/6/06","Yellow-green Vireo","Second Year","Unknown"
"B87974698149","5/4/06","Yellow-green Vireo","After Second Year","Unknown"
"B87974698227","5/3/06","Yellow-green Vireo","Second Year","Unknown"
"B87974698304","5/8/05","Yellow-green Vireo","Second Year","Unknown"
"B87974698627","10/5/06","Yellow-green Vireo","Hatching Year","Unknown"
"B87974698876","10/4/06","Yellow-green Vireo","Hatching Year","Unknown"
"B87974698946","7/6/06","Yellow-green Vireo","Second Year","Unknown"
"B87983346663","6/11/03","Black-capped Vireo","After Third Year","Male"
"B87983740427","11/26/94","Acadian Flycatcher","Unknown","Unknown"
"B87983746104","11/25/96","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B87983748309","11/15/95","Western Flycatcher","After Hatching Year","Unknown"
"B87983748463","11/15/95","Hammond's Flycatcher","Hatching Year","Female"
"B87983748624","11/16/95","Hammond's Flycatcher","After Hatching Year","Unknown"
"B87983748827","11/16/95","Warbling Vireo","Hatching Year","Unknown"
"B87984033383","3/19/87","Red-eyed Vireo","After Hatching Year","Unknown"
"B87984035309","3/22/87","Least Flycatcher","After Hatching Year","Unknown"
"B87984255225","1/24/90","Greenish Elaenia","After Hatching Year","Unknown"
"B87984285784","2/10/89","Dusky-capped Flycatcher","After Hatching Year","Unknown"
"B87883193611","1/26/03","Cuban Pewee","Second Year","Unknown"
"B87883526018","2/25/99","White-eyed Vireo","After Second Year","Unknown"
"B87883526028","2/25/99","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B87883526262","2/23/99","White-eyed Vireo","Second Year","Unknown"
"B87883526497","2/19/99","White-eyed Vireo","After Second Year","Unknown"
"B87883526578","2/17/99","Least Flycatcher","After Second Year","Unknown"
"B87883526745","2/27/99","White-eyed Vireo","Second Year","Unknown"
"B87883527148","2/22/99","Least Flycatcher","After Hatching Year","Unknown"
"B87883527223","2/22/99","White-eyed Vireo","After Hatching Year","Unknown"
"B87883527305","2/20/99","Least Flycatcher","Second Year","Unknown"
"B87883527382","2/20/99","White-eyed Vireo","Second Year","Unknown"
"B87883527467","2/19/99","White-eyed Vireo","After Second Year","Unknown"
"B87883527838","2/25/99","White-eyed Vireo","After Second Year","Unknown"
"B87883560178","4/29/17","Eastern Wood-Pewee","Second Year","Unknown"
"B87883567216","11/6/18","White-eyed Vireo","After Hatching Year","Unknown"
"B87883567458","10/2/18","Red-eyed Vireo","Hatching Year","Unknown"
"B87883567468","10/11/18","Traill's Flycatcher","Hatching Year","Unknown"
"B87883567538","9/12/18","Traill's Flycatcher","After Hatching Year","Unknown"
"B87883567695","4/22/19","Traill's Flycatcher","Second Year","Unknown"
"B87883568028","4/26/18","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B87883568147","3/18/18","White-eyed Vireo","Second Year","Unknown"
"B87883568228","10/28/17","Red-eyed Vireo","Hatching Year","Unknown"
"B87883568266","10/29/17","Red-eyed Vireo","Hatching Year","Unknown"
"B87883568308","10/25/17","Eastern Wood-Pewee","Hatching Year","Unknown"
"B87883568508","9/30/17","Traill's Flycatcher","Hatching Year","Unknown"
"B87883568578","10/2/17","Traill's Flycatcher","Hatching Year","Unknown"
"B87883568733","5/7/18","Yellow-bellied Flycatcher","Second Year","Unknown"
"B87883569617","9/20/17","Traill's Flycatcher","Hatching Year","Unknown"
"B87993226879","2/21/96","Western Flycatcher","Second Year","Unknown"
"B87993228143","2/9/96","Western Flycatcher","Second Year","Unknown"
"B87993228302","2/9/96","Western Flycatcher","Second Year","Unknown"
"B87993228467","2/9/96","Western Flycatcher","Second Year","Unknown"
"B87993228629","2/13/96","Hammond's Flycatcher","After Hatching Year","Unknown"
"B87993228948","2/10/96","Hammond's Flycatcher","Second Year","Unknown"
"B87993641839","10/16/96","Traill's Flycatcher","Hatching Year","Unknown"
"B87993642879","9/29/97","Traill's Flycatcher","After Hatching Year","Unknown"
"B88003030320","9/22/00","Least Flycatcher","After Hatching Year","Unknown"
"B88003030480","9/22/00","Least Flycatcher","After Hatching Year","Unknown"
"B88003030640","10/21/00","Least Flycatcher","After Hatching Year","Unknown"
"B88003030880","10/19/00","Northern Rough-winged Swallow","Hatching Year","Unknown"
"B88003039120","2/15/01","White-eyed Vireo","After Second Year","Unknown"
"B88003039203","2/13/01","White-eyed Vireo","Second Year","Unknown"
