"band","event_date","species_name","band_type_description","bird_status_description","age_description","sex_description"
"B78074737487","5/20/04","Brown-crested Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78074737647","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78074737747","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78074737754","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78074737800","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78074737887","5/15/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77543858965","2/6/07","Willow Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B69364530026","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530263","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364530340","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530503","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530586","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530639","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530664","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530745","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530823","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364530900","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364530989","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364531063","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364531146","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364531305","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364531383","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364531461","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364531706","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364531943","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364538103","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364538188","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364538343","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364538585","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364538636","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364538663","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364538829","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539145","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539223","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539309","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539389","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364539463","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539546","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539624","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539673","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539705","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69364539783","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364539869","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B69364539949","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78093973819","4/29/00","Cuban Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B77553486795","8/26/11","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B78104867666","6/27/04","Ash-throated Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B77563247844","4/14/10","Barn Swallow","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77573918325","10/25/09","Western Wood-Pewee","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B78143817104","2/25/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78143817987","3/11/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78143819751","12/4/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B69373626947","7/4/74","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78164734444","1/25/07","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B78164872458","10/17/06","Gray Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77603764047","4/25/04","Barn Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B78174163701","3/19/11","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B78174170537","1/2/06","Tree Swallow","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604172134","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604172211","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604172247","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604172297","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175011","5/13/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175097","5/13/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175126","5/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175175","5/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175200","4/2/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175284","4/18/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175657","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175686","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175735","5/28/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175756","5/28/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175760","6/4/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175817","5/22/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77604175844","5/19/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175896","5/22/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175921","5/14/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B77604175970","5/18/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78184753808","7/9/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B78184753967","4/23/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B78184754045","6/11/07","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78184754124","5/28/07","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78184754444","6/30/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78184754527","5/31/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77613359843","5/23/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B78203778717","5/17/01","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B78203778763","6/14/01","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B78203778777","6/7/01","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B78203778798","5/18/01","Buff-breasted Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B78203778927","5/14/00","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B77613947509","3/21/06","Hutton's Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B77613965121","2/24/04","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B78293994719","5/9/87","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78294474054","2/15/07","Gray Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77614824646","6/12/09","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B77614825605","5/22/09","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B77614856081","6/5/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B77614856406","5/2/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B77614857126","6/27/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B77614857266","5/30/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B77614858806","6/22/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B77614858964","6/9/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B78223100793","10/6/86","Eastern Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B78223101752","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78223105752","9/22/85","Traill's Flycatcher","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B78223107757","9/23/87","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B77634612486","8/4/07","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B77634632646","8/21/10","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78273975067","5/24/95","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78274105540","5/10/02","Gray Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78274960029","7/20/00","Cassin's Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B78274960740","6/14/01","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B78274960799","7/5/01","Cassin's Kingbird","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B78394737727","5/10/02","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78394737747","5/5/02","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B78434473894","8/27/92","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79364530713","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B79364531759","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79364538714","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B79364538795","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B79364539756","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78453426796","9/20/85","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78453427264","11/4/84","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B78453427665","2/4/85","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78473972858","4/18/81","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78473974188","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Female"
"B78473974347","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78473974377","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B78473974423","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","Second Year","Male"
"B78473974587","4/11/80","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Second Year","Female"
"B78473974664","9/25/80","Eastern Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78473974697","9/25/80","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B78473974907","4/11/80","Northern Rough-winged Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B78473974983","5/18/80","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B78503667583","1/9/84","Jamaican Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B79383473339","9/10/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78554374534","5/14/00","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78554374858","7/5/01","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B79393875899","10/9/64","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B79394074213","7/12/00","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79394074537","1/9/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B79023257342","6/5/84","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78584572615","5/1/00","La Sagra's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78584572772","4/30/00","La Sagra's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78613776127","2/23/03","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79064726684","12/12/87","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79073784428","10/27/84","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B78704291459","12/9/79","Thick-billed Vireo","aluminum\butt end","Normal wild bird.","Unknown","Female"
"B79613743487","5/31/60","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78704837747","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B78704837770","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B78704837854","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B79624833759","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78711291851","3/28/10","Great Kiskadee","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B78711636578","3/17/05","California Scrub-Jay","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B79124588794","2/7/76","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B81914789259","3/22/97","Great Crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B81924382214","12/20/03","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B81924388453","2/10/07","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B81924388782","3/22/08","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B81924388852","3/13/08","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B81924388934","3/2/08","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B78722878498","5/30/04","Mexican Jay","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B81934921834","8/12/89","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B81934978148","3/9/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B81934978309","2/12/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B81934978464","2/4/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B81934978943","3/27/09","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B81934996874","10/1/97","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B78731701401","7/13/10","Great Kiskadee","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B86814289019","5/24/02","Black Phoebe","bimetallic\no address","Normal wild bird.","Second Year","Female"
"B86814289859","4/24/03","Tree Swallow","bimetallic\no address","Normal wild bird.","After Second Year","Female"
"B78741378717","7/29/07","Great Kiskadee","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B79164834711","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B79164834796","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B79164835759","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B79173075140","6/12/05","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B79173175069","6/5/07","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B79173175941","6/6/07","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B79173368341","7/10/74","Cliff Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B79173675943","6/5/04","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B79173675975","6/5/04","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87283556185","10/17/18","Yellow-bellied Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B87283556265","10/16/18","Yellow-bellied Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B87283593303","10/6/19","Yellow-bellied Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B87283594424","4/20/19","Yellow-bellied Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Second Year","Male"
"B87303686537","6/28/10","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B78764143534","5/29/82","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78764143858","4/14/84","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78764650570","9/23/88","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B78764652656","9/18/87","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87383058100","7/17/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B87383058143","7/14/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B87383058268","7/13/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B87383786023","12/2/17","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B87383786107","3/18/17","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B87383786457","12/11/16","Vermilion Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B87404869800","4/26/11","Scissor-tailed Flycatcher","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Male"
"B87413873964","2/20/09","Philadelphia Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87434867404","12/20/16","Loggerhead Shrike","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B87434867488","12/26/16","Loggerhead Shrike","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B87464856524","4/14/17","Red-eyed Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Male"
"B79213475175","9/8/66","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87514218782","4/21/11","Tropical Kingbird","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Second Year","Male"
"B87563282455","9/26/07","Black-capped Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B87563282536","9/5/07","Black-capped Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B87573918465","10/13/09","Western Wood-Pewee","aluminum\butt-end toll free","Normal wild bird.","Unknown","Male"
"B87583013543","4/28/07","Least Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87604175830","5/21/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87613241832","5/8/04","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87613359831","5/26/03","Northern Rough-winged Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B87613938148","2/25/06","Violet-green Swallow","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87614856921","6/11/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87614858946","5/20/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B87614859007","7/2/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87614859086","7/2/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B87683190023","12/7/06","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B87683221147","5/15/04","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87683221226","5/15/04","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B87683329948","3/12/09","Philadelphia Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B87753702872","9/30/03","Traill's Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B87764928148","6/11/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87774098387","1/28/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87783918149","4/3/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B87783918467","3/15/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B87794824764","6/8/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87794824848","5/11/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87794824877","5/24/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B87814345777","6/27/99","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814971837","5/10/00","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87814971857","5/10/00","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979059","6/30/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979137","6/30/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979218","6/30/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979459","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87814979537","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979837","7/8/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87814979851","7/8/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87814979934","7/8/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87833648223","10/13/97","Eastern Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B87843200870","5/27/01","Yellow-bellied Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B79304970933","3/20/64","Purple Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B87914810281","10/11/91","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B87923278462","3/21/94","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87924570872","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87933807803","4/21/84","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B87944978307","5/4/90","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
